anunciante,area_privativa,area_total,atualizacao,bairro,banheiros,cidade,cod_imovel,creci,data_publicacao,dce,endereco,garagem,idade_imovel,quartos,suites,url,valor_condominio,valor_imovel,valor_mt2
PaulOOctavio,62 m²,,03/07/2022,SUL,,ÁGUAS CLARAS,390775,1700,,,Rua 12,,,,,https://www.dfimoveis.com.br/imovel/lancamento-residencial-vilarindo-lima-390775,,672.391,10.845
CONBRAL,89 a 132 m²,,03/07/2022,NORTE,,ÁGUAS CLARAS,392214,0000021710,,,Rua 25,,,,,https://www.dfimoveis.com.br/imovel/lancamento-square-garden-home--mall-392214,,A partir 872.644,8.775+
Victor Passos,"82,00 m²"," 82,00 m²",03/07/2022,NORTE,,ÁGUAS CLARAS,514104,25554,,,Quadra 101,1,,2,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-norte-aguas-claras-df-quadra-101-514104,615,725.000,8.841
Sheila Simão Corretora de Imóveis,"82,00 m²",,03/07/2022,NORTE,,ÁGUAS CLARAS,566509,13502,,,Quadra 101,2,,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-norte-aguas-claras-df-quadra-101-566509,,725.000,8.841
PaulOOctavio,203 m²,,03/07/2022,SUL,,ÁGUAS CLARAS,394112,1700,,,Avenida das Araucárias,,,,,https://www.dfimoveis.com.br/imovel/lancamento-peninsula-lazer-e-urbanismo-394112,,1.936.368,9.538
Coemi Imóveis ,"106,00 m²",,03/07/2022,SUL,,ÁGUAS CLARAS,513834,3545,,,Quadra 204,2,,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-sul-aguas-claras-df-quadra-204-513834,,880.000,8.301
Gabriel Silva - My House,"82,00 m²",,03/07/2022,NORTE,,ÁGUAS CLARAS,529879,26962,,,Quadra 101,1,,2,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-norte-aguas-claras-df-quadra-101-529879,610,725.000,8.841
Ruti Batista,"61,00 m²",,03/07/2022,NORTE,,ÁGUAS CLARAS,513190,13025,,,Rua 19,1,,2,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-norte-aguas-claras-df-rua-19-513190,500,559.000,9.163
Coemi Imóveis ,"90,00 m²",,03/07/2022,NORTE,,ÁGUAS CLARAS,540021,3545,,,Quadra 106,1,,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-norte-aguas-claras-df-quadra-106-540021,,715.000,7.944
GRM GESTÃO DE IMÓVEIS,71 a 156 m²,,03/07/2022,SUL,,ÁGUAS CLARAS,566230,26469,,,Rua 36,,,,,https://www.dfimoveis.com.br/imovel/lancamento-residencial-ouro-branco-vi-566230,,A partir 672.830,9.461+
Sheila Simão Corretora de Imóveis,"45,00 m²"," 89,00 m²",03/07/2022,SUL,,ÁGUAS CLARAS,566043,13502,,,Quadra 201,1,,1,,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-sul-aguas-claras-df-quadra-201-566043,450,399.000,8.866
Victor Passos,"58,24 m²"," 508,24 m²",03/07/2022,NORTE,,ÁGUAS CLARAS,558281,25554,,,Alameda Gravatá Quadra 301 Conjunto 20,1,,2,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-norte-aguas-claras-df-alameda-gravata-quadra-301-conjunto-20-558281,590,360.000,6.181
NADAL,"160,93 m²"," 217,00 m²",03/07/2022,SUL,,ÁGUAS CLARAS,567492,26887,,,Quadra 206,2,,4,1,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sul-aguas-claras-df-quadra-206-567492,1.400,1.050.000,6.524
QUADRAIMOB,88 a 132 m²,,03/07/2022,NORTE,,ÁGUAS CLARAS,175426,24900,,,Rua  25,,,,,https://www.dfimoveis.com.br/imovel/lancamento-square-garden-home--mall-175426,,A partir 872.644,8.591+
Imoveisbsbdf,"73,56 m²"," 115,66 m²",03/07/2022,NORTE,,ÁGUAS CLARAS,565777,25427,,,Rua 21,1,,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-norte-aguas-claras-df-rua-21-565777,442,585.000,7.952
Atalaia Empreendimentos Imobiliários,"52,00 m²",,03/07/2022,SUL,,ÁGUAS CLARAS,567359,17841,,,Rua DAS PITANGUEIRAS,1,,2,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-sul-aguas-claras-df-rua-das-pitangueiras-567359,5,448.000,8.615
Giovanna Rios Negócios Imobiliários,"38,00 m²",,03/07/2022,NORTE,,ÁGUAS CLARAS,546001,27505,,,Rua 30,1,,1,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-norte-aguas-claras-df-rua-30-546001,350,320.000,8.421
Cíntia Saraiva,"42,00 m²",,03/07/2022,SUL,,ÁGUAS CLARAS,523154,26830,,,Avenida Jequitibá,1,,1,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-sul-aguas-claras-df-avenida-jequitiba-523154,405,320.000,7.619
P&S Assessoria Imobiliária Ltda.,"125,00 m²"," 125,00 m²",03/07/2022,SUL,,ÁGUAS CLARAS,517275,26614,,,Quadra 203,2,,3,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-sul-aguas-claras-df-quadra-203-517275,,889.000,7.112
Emplavi,59 m²,,03/07/2022,AREAL,,ÁGUAS CLARAS,282506,3313,,,QS 5 Rua 400,,,,,https://www.dfimoveis.com.br/imovel/lancamento-montana-residencial-282506,,478.336,8.107
P&S Assessoria Imobiliária Ltda.,"70,00 m²"," 70,00 m²",03/07/2022,SUL,,ÁGUAS CLARAS,511325,26614,,,Rua 22,1,,3,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-sul-aguas-claras-df-rua-22-511325,,518.000,7.400
Quadrado Imob,"58,00 m²"," 96,00 m²",03/07/2022,NORTE,,ÁGUAS CLARAS,552691,26120,,,Rua MANACA,1,,2,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-norte-aguas-claras-df-rua-manaca-552691,480,420.000,7.241
CSA Santos Corretora de Imóveis,"48,00 m²",,03/07/2022,AREAL,,ÁGUAS CLARAS,554909,12469,,,QS 5 Rua 310,1,,2,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-areal-aguas-claras-df-qs-5-rua-310-554909,420,215.000,4.479
Victor Viana,63 a 188 m²,,03/07/2022,NORTE,,ÁGUAS CLARAS,530955,17992,,,Rua DAS CARNAUBAS,,,,,https://www.dfimoveis.com.br/imovel/lancamento-reserva-parque-clube-direcional-530955,,A partir 499.970,7.758+
Pollyanna Santos,"52,00 m²",,03/07/2022,NORTE,,ÁGUAS CLARAS,556005,021284,,,Rua 25,1,,2,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-norte-aguas-claras-df-rua-25-556005,,470.000,9.038
Pollyanna Santos,"89,06 m²",,03/07/2022,NORTE,,ÁGUAS CLARAS,485320,021284,,,Rua 25,2,,2,2,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-norte-aguas-claras-df-rua-25-485320,,820.000,9.207
SOUSA IMÓVEIS,"33,00 m²",,03/07/2022,SUL,,ÁGUAS CLARAS,499654,15697,,,Avenida das Araucárias,1,,1,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-sul-aguas-claras-df-avenida-das-araucarias-499654,400,318.000,9.636
PaulOOctavio,64 a 74 m²,,03/07/2022,SUL,,ÁGUAS CLARAS,389865,1700,,,Avenida das Araucárias,,,,,https://www.dfimoveis.com.br/imovel/lancamento-residencial--dalmo-rebello-389865,,A partir 588.381,9.217+
