anunciante,area_privativa,area_total,atualizacao,bairro,cidade,cod_imovel,creci,data_publicacao,dce,endereco,garagem,quartos,suites,url,valor_condominio,valor_imovel,valor_mt2
PaulOOctavio,160 m²,,01/07/2022,ASA NORTE,BRASÍLIA,389299,1700,,,SQN 215,,,,https://www.dfimoveis.com.br/imovel/lancamento-residencial-jane-godoy-389299,,2.796.271,17.476
61 Imóveis - Netimóveis,"251,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,522949,21418,,,SQN 107,2,4,2,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-107-522949,1.675,2.950.000,11.752
Consult Imóveis,"117,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,530566,8714,,,SQN 203 Bloco F,1,4,1,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-203-bloco-f-530566,1.050,1.350.000,11.538
61 Imóveis - Netimóveis,"76,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,502689,21418,,,SQN 211,2,2,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-211-502689,750,1.250.000,16.447
Granville Negócios Imobiliários,"320,00 m²"," 496,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,529644,23201,,,SQN 314 Bloco H,4,3,2,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-314-bloco-h-529644,3.100,3.100.000,9.687
Ferola Empreendimentos Imobiliários,"189,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,531217,11476,,,SQN 106,2,4,3,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-106-531217,1.100,2.090.000,11.058
61 Imóveis - Netimóveis,"190,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,423022,21418,,,SQN 110,2,4,2,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-110-423022,2.300,2.395.000,12.605
61 Imóveis - Netimóveis,"68,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,553587,21418,,,SQN 309,1,2,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-309-553587,680,845.000,12.426
Macedo Imoveis,"155,00 m²"," 202,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,557739,11670,,,SQN 311 Bloco G,2,4,1,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-311-bloco-g-557739,1.600,2.195.000,14.161
IC Corretora de Imóveis,160 a 387 m²,,01/07/2022,ASA NORTE,BRASÍLIA,278318,24347,,,SQN 215 Bloco D,,,,https://www.dfimoveis.com.br/imovel/lancamento-jane-godoy-278318,,Sob Consulta,Sob Consulta
Melhor do Imóvel,"76,00 m²"," 85,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,560131,11991,,,SQN 412,,3,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-412-560131,455,739.900,9.735
Coemi Imóveis ,"62,00 m²"," 105,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,520856,3545,,,SQN 416,,2,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-416-520856,585,720.000,11.612
Julisce Alencar Moraes,"187,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,390869,12971,,,SQN 212 Bloco H,1,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-212-bloco-h-390869,,1.650.000,8.823
PaulOOctavio,,,01/07/2022,ASA NORTE,BRASÍLIA,390740,1700,,,SQN 208 Bloco J,,,,https://www.dfimoveis.com.br/imovel/lancamento-residencial-marcio-cotrim-390740,,Sob Consulta,Sob Consulta
Coemi Imóveis ,"90,00 m²"," 144,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,513831,3545,,,SQN 305,1,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-305-513831,575,1.300.000,14.444
61 Imóveis - Netimóveis,"155,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,550111,21418,,,SQN 311,2,4,1,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-311-550111,1.660,2.280.000,14.709
Acontece Imobiliária,"25,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,454226,4996,,,SGAN 912,1,1,,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-sgan-912-454226,,265.000,10.600
