anunciante,area_privativa,area_total,atualizacao,bairro,banheiros,cidade,cod_imovel,creci,data_publicacao,dce,endereco,garagem,idade_imovel,quartos,suites,url,valor_condominio,valor_imovel,valor_iptu,valor_mt2
Isabel Santos,,,,Parque da Barragem Setor 11,1,Águas Lindas de Goiás,1055554250,,2022-07-08,,Quadra 98 Conjunto A,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vende-otimo-agil-de-apartamento-1055554250,R$ 0,R$ 0,,
GILBERTO DA SILVA,55m²,,,Parque Marajó,1,Valparaíso de Goiás,1055458187,,2022-07-08,,Rua 1 (Quadras 01 e 09),1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vd-agio-apt-2qts-todo-com-amarios-planejados-prest-r-460-00-exijo-transferecia-1055458187,R$ 70,R$ 27.900,R$ 170,
Oliveira,60m²,,,Parque da Barragem Setor 10,1,Águas Lindas de Goiás,1055287675,,2022-07-08,,Quadra 104 Conjunto A,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-de-apto-setor-10-otima-localizacao-1055287675,R$ 0,,R$ 236,
André L. C. Nascimento,44m²,,,Parque das Cachoeiras,1,Valparaíso de Goiás,999482789,,2022-07-08,,Conjunto Residencial 5 Condomínio 1,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-apartamento-parque-clube-1-999482789,R$ 247,R$ 50.000,R$ 0,
Se lima,48m²,,,Centro,1,"Jardim Abc De Goiás, Cidade Ocidental",1055470467,,2022-07-08,,,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-a-venda-1055470467,R$ 70,R$ 36.000,R$ 230,
RO Escritório Imobiliário -CRECI 13243,58m²,,,Mansões Pôr do Sol,1,Águas Lindas de Goiás,1042286021,,2022-07-08,,Quadra 000AR,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apto-mansoes-por-sol-atras-do-shopping-de-aguas-lindas-1042286021,R$ 0,R$ 70.000,R$ 0,
Júnior,50m²,,,,1,Águas Lindas De Goiás,1055488813,,2022-07-08,,,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vende-se-esse-otimo-apartamento-1055488813,R$ 0,R$ 50.000,R$ 0,
RONALDO JÚNIOR,44m²,,,Ypiranga,1,Valparaíso de Goiás,1052050764,,2022-07-08,,Chácara 34 Quadra E,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-para-venda-possui-44-metros-quadrados-com-2-quartos-1052050764,R$ 0,R$ 40.000,R$ 0,
FCA IMOBILIÁRIA,53m²,,,Parque Nova Friburgo B,1,Cidade Ocidental,1048089066,,2022-07-08,,Quadra 13,,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/imperdivel-venha-conhecer-os-diferenciais-compra-deste-imovel-cidade-ocidental-go-par-1048089066,R$ 0,R$ 59.853,R$ 0,
Shirley Aparecida Fernandes,109m²,,,Ypiranga,1,Valparaíso de Goiás,967769006,,2022-07-08,,Quadra 2 Chácara 43,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apto-terreo-2-quartos-residencial-varandas-i-valparaiso-go-967769006,R$ 165,R$ 165.000,R$ 0,
