anunciante,area_privativa,area_total,atualizacao,bairro,banheiros,cidade,cod_imovel,creci,data_publicacao,dce,endereco,garagem,idade_imovel,quartos,suites,url,valor_condominio,valor_imovel,valor_iptu,valor_mt2
Natalia Novo,123,,,Sul,4,Brasília,2556319119,,,,Quadra 205,[2],,3,[1],https://www.vivareal.com.br/imovel/apartamento-3-quartos-sul-bairros-brasilia-com-garagem-123m2-venda-RS770000-id-2556319119/,840,770000,1556,
ALFREDO MARTINS REIS,146,,,Setor Sudoeste,5,Brasília,2542005292,,,,SQSW 300 Bloco B,[2],,4,[2],https://www.vivareal.com.br/imovel/apartamento-4-quartos-setor-sudoeste-bairros-brasilia-com-garagem-146m2-venda-RS2300000-id-2542005292/,1200,2300000,3000,
joao lucas,40,67,,Sul,1,Brasília,2563350354,,,,Avenida Jacarandá,[1],,1,,https://www.vivareal.com.br/imovel/apartamento-1-quartos-sul-bairros-brasilia-com-garagem-40m2-venda-RS320000-id-2563350354/,350,320000,1200,
Raimundo Augusto,84,,,Aguas Claras,3,Brasília,2562087975,,,,Quadra 105,[1],,3,[2],https://www.vivareal.com.br/imovel/apartamento-3-quartos-aguas-claras-bairros-brasilia-com-garagem-84m2-venda-RS640000-id-2562087975/,709,640000,910,
Milene Azambuja Weisskeimer,45,52,,Quadras Economicas Lucio Costa,1,Brasília,2560376678,,,,EPTG QE 3,,,1,,https://www.vivareal.com.br/imovel/apartamento-1-quartos-quadras-economicas-lucio-costa-bairros-brasilia-45m2-venda-RS198000-id-2560376678/,160,198000,1300,
JAIR TEDESCHI,96,,,Norte,3,Brasília,2553694909,,,,Rua Alecrim,[1],,3,[1],https://www.vivareal.com.br/imovel/apartamento-3-quartos-norte-bairros-brasilia-com-garagem-96m2-venda-RS680000-id-2553694909/,680,680000,1200,
herbert dutra da silva,78,,,Norte,2,Brasília,2564275155,,,,Rua 12,[1],,2,[1],https://www.vivareal.com.br/imovel/apartamento-2-quartos-norte-bairros-brasilia-com-garagem-78m2-venda-RS450000-id-2564275155/,700,450000,,
Leandro Lucheses,104,,,Asa Sul,3,Brasília,2566707700,,,,SQS 405 Bloco J,,,3,[1],https://www.vivareal.com.br/imovel/apartamento-3-quartos-asa-sul-bairros-brasilia-104m2-venda-RS1050000-id-2566707700/,1000,1050000,,
Flavio Pereira Rissato,31,75,,Setor Noroeste,1,Brasília,2562698120,,,,SQNW 311 Bloco D,[1],,1,[1],https://www.vivareal.com.br/imovel/apartamento-1-quartos-setor-noroeste-bairros-brasilia-com-garagem-31m2-venda-RS488000-id-2562698120/,350,488000,1200,
Nagib Mohammed Abdalla Nassar,112,,,Asa Norte,2,Brasília,2508498897,,,,SQN 107 Bloco G,,,3,,https://www.vivareal.com.br/imovel/apartamento-3-quartos-asa-norte-bairros-brasilia-112m2-venda-RS1300000-id-2508498897/,1200,1300000,1720,
ALBERICO DE SOUZA SA TELES,54,64,,Setor de Habitações Individuais Norte,1,Brasília,2562516726,,,,CA 2,[1],,2,,https://www.vivareal.com.br/imovel/apartamento-2-quartos-setor-de-habitacoes-individuais-norte-bairros-brasilia-com-garagem-54m2-venda-RS699000-id-2562516726/,323,699000,2500,
Fabio Rogério Just Bastos,49,,,Samambaia Sul,2,Brasília,2537329187,21172-F-DF,,,Quadra 301,[1],,2,[1],https://www.vivareal.com.br/imovel/apartamento-2-quartos-samambaia-sul-bairros-brasilia-com-garagem-49m2-venda-RS240000-id-2537329187/,340,240000,,
Silvio Roberto da Costa,101,,,Guara I,2,Brasília,2561007486,,,,SQB 3 Bloco N,[2],,3,[1],https://www.vivareal.com.br/imovel/apartamento-3-quartos-guara-i-bairros-brasilia-com-garagem-101m2-venda-RS1100000-id-2561007486/,900,1100000,1100,
PAULO RICARDO SOUSA GONÇALVES,60,,,Sobradinho,2,Brasília,2496574684,,,,Quadra 3 Comércio Local 20,,,2,[1],https://www.vivareal.com.br/imovel/apartamento-2-quartos-sobradinho-bairros-brasilia-60m2-venda-RS305000-id-2496574684/,200,305000,650,
Brenda Ferreira Da Silva,68,,,Aguas Claras,2,Brasília,2532255769,,,,,[2],,3,[1],https://www.vivareal.com.br/imovel/apartamento-3-quartos-aguas-claras-bairros-brasilia-com-garagem-68m2-venda-RS550000-id-2532255769/,,550000,,
