anunciante,area_privativa,area_total,atualizacao,bairro,banheiros,cidade,cod_imovel,creci,data_publicacao,dce,endereco,garagem,idade_imovel,quartos,suites,url,valor_condominio,valor_imovel,valor_iptu,valor_mt2
Direcional,,,2022-02-17,Águas Claras,,Brasília,2962633297,,,,"R. das Carnaúbas, Lote 12 ",,,,,https://www.wimoveis.com.br/propriedades/apartamento-brasilia-reserva-parque-clube-2962633297.html,,,,
L.Wertheim,,,2022-06-22,Pinheiros,,São Paulo,2965430553,,,,"Rua Oscar Freire, 1485",,,,,https://www.wimoveis.com.br/propriedades/apartamento-pinheiros-terraco-oscar-freire-2965430553.html,,3.176.000,,
Eztec,,,2022-07-08,Pompéia,,São Paulo,2962947539,,,,"RUA TUCUNA, 88",,,,,https://www.wimoveis.com.br/propriedades/apartamento-perdizes-vivid-perdizes-2962947539.html,,,,
Rezende Empreendimentos,,,2022-06-27,Pinheiros,,São Paulo,2966478662,,,,"R. Bianchi Bertoldi, 130 							",,,,,https://www.wimoveis.com.br/propriedades/apartamento-e-studio-pinheiros-ara-faria-lima-2966478662.html,,,,
Canopus,,,2022-07-05,Pinheiros,,São Paulo,2953840823,,,,"Cardeal Arcoverde,  2004",,,,,https://www.wimoveis.com.br/propriedades/apartamento-pinheiros-today-pinheiros-2953840823.html,,315.000,,
Patricia Barbosa - Corretora de Imoveis,168,168,2022-07-06,Águas Claras,,Brasília,2965492623,10902,,,Rua 28 VIA TERRAZZO 9,3,9,4,2,https://www.wimoveis.com.br/propriedades/a-venda-via-terrazzo-4-quartos-sendo-2-suites-e-2-semi-2965492623.html,1300,1.470.000,,
Nova Inteligência Imobiliária,165,165,2022-07-08,Águas Claras,2,Brasília,2965300888,CJ - 25228,,,"R. das Paineiras, Via Palácio Do Sol Lote 2",3,14,4,2,https://www.wimoveis.com.br/propriedades/apartamento-4-quartos-andar-alto-3-vagas-de-garagem-2965300888.html,1305,1.400.000,,
COEMI IMÓVEIS.,58,58,2022-07-08,Águas Claras,2,Brasília,2966810306,3545,,,Rua 08 Norte 0,1,22,2,1,https://www.wimoveis.com.br/propriedades/rua-08-norte-apartamento-de-2-quartos-sendo-1-suite-2966810306.html,495,460.000,,
Victor Guirelli ,127,127,2022-07-06,Águas Claras,3,Brasília,2966925777,Creci 25937/DF,,,QUADRA 203 SUL,2,10,3,1,https://www.wimoveis.com.br/propriedades/quadra-203-2966925777.html,860,890.000,,
THAIS IMOBILIÁRIA VENDAS,63,63,2022-07-06,Águas Claras,2,Brasília,2965982900,,,,Quadra 202 10,1,,2,1,https://www.wimoveis.com.br/propriedades/apartamento-res.-franz-listz-brasilia-df-2965982900.html,654,430.000,,
4IMOB - Assessoria imobiliária,36,36,2022-07-06,Águas Claras,1,Brasília,2966842739,25942,,,rua 33 sul,1,6,1,,https://www.wimoveis.com.br/propriedades/rua-33-sul-res.-le-club-1-quarto!-2966842739.html,,330.000,,
Serra Negra corretor de imóveis,97,185,2022-07-04,Águas Claras,3,Brasília,2966788814,25988,,,rua 09 sul lote 03,2,12,4,3,https://www.wimoveis.com.br/propriedades/reformado-armarios-lazer-completo-4-quartos-piazza-2966788814.html,799,899.000,,
4IMOB - Assessoria imobiliária,39,39,2022-07-02,Águas Claras,1,Brasília,2958913619,25942,,," Av. Sibipiruna, Lote 11",1,6,1,,https://www.wimoveis.com.br/propriedades/smart-residence-vaga-de-garagem-apartamento-2958913619.html,,359.000,,
MARIA COSTA,47,47,2022-06-30,Águas Claras,1,Brasília,2966662716,,,,"RUA 04 NORTE , AVENIDA DAS CASTANHEIRAS",1,4,1,1,https://www.wimoveis.com.br/propriedades/01-quarto-residencial-michiganmobiliado-reformado!-2966662716.html,1,450.000,,
COEMI IMÓVEIS.,71,71,2022-07-08,Águas Claras,2,Brasília,2966200556,3545,,,Rua 36 Sul 6,1,22,2,2,https://www.wimoveis.com.br/propriedades/lancamento-ouro-branco-vi-rua-36-sul-aguas-claras-2966200556.html,0,672.830,,
ALPHAVILLE IMÓVEIS,67,67,2022-07-04,Águas Claras,2,Brasília,2964505712,25.289,,, Quadra QS 1 andar alto,1,,2,1,https://www.wimoveis.com.br/propriedades/agio-na-planta-2-quartos-residencial-montanna-aguas-2964505712.html,,86.000,,
COEMI IMÓVEIS.,70,70,2022-07-08,Águas Claras,2,Brasília,2966106408,3545,,,Avenida Parque Águas Claras 11,1,22,3,1,https://www.wimoveis.com.br/propriedades/av-parque-aguas-claras-ed.-natalia-valois-2966106408.html,545,580.000,,
