anunciante,area_privativa,area_total,atualizacao,bairro,banheiros,cidade,cod_imovel,creci,data_publicacao,dce,endereco,garagem,idade_imovel,quartos,suites,url,valor_condominio,valor_imovel,valor_mt2
SMART IMOB ,100,100,2022-07-02,Asa Sul,2,Brasília,2963313736,24786,,,Quadra SQS 106 2,,12,2,1,/propriedades/sqs-106-02-quartos-01-suite-2963313736.html,750,900.000,
THAIS IMOBILIÁRIA VENDAS,51,54,2022-07-01,Asa Sul,1,Brasília,2960846475,,,,Shs Quadra 6 Conjunto A Bloco D   Hotel Meliá Brasilia 0,,,1,1,/propriedades/melia-brasil-21-proximo-ao-parque-da-cidade-2960846475.html,1600,375.000,
DF4  imoveis & consultoria,110,110,2022-06-23,Asa Sul,2,Brasília,2965149859,CJ -  25.347,,,QUADRA SQS 303 BLOCO I,1,7,3,1,/propriedades/asa-sul-sqs-303-apartamento-dentro-de-quadra-3-2965149859.html,1040,1.350.000,
THAIS IMOBILIÁRIA VENDAS,110,112,2022-07-01,Asa Sul,3,Brasília,2965021282,,,,Quadra SQS 303 Bloco C 102,1,,3,1,/propriedades/sqs-303-vista-livre-e-1-vaga-de-garagem-2965021282.html,1040,1.350.000,
HENRIQUE RIBEIRO,105,105,2022-06-23,Asa Sul,,Brasília,2964837358,19857,,,SQS 304 ,,30,3,,/propriedades/apartamento-sqs-304-vista-livre-nascente-2964837358.html,,1.195.000,
Ferola Filial Águas Claras 11,85,110,2022-06-20,Asa Sul,2,Brasília,2965460385,CJ 11476,,,SQS 416 1° andar,,37,3,,/propriedades/apartamento-sqs-416-asa-sul-3-quartos-dce-85-2965460385.html,600,670.000,
THAIS IMOBILIÁRIA VENDAS,65,65,2022-07-01,Asa Sul,1,Brasília,2965638556,,,,Quadra SQS 409 Bloco S 0,,,2,,/propriedades/sqs-409-vazado-e-nascente-apartamento-com-mobilia-2965638556.html,0,650.000,
Elenio - 1ML | 1 Million Listings - Imóveis ⋄ Interiores ⋄ SMART Home,89,100,2022-06-30,Asa Sul,2,Brasília,2965760202,,,,Quadra SQS 416 Asa Sul 3 Quartos 1 Suíte Vazado Reformado Apto,,19,3,1,/propriedades/quadra-sqs-416-asa-sul-3-quartos-1-suite-vazado-2965760202.html,100,740.000,
LMD imóveis ,78,78,2022-05-29,Asa Sul,2,Brasília,2965770090,,,,SQS 407,,10,3,1,/propriedades/sqs-407-3-quartos-com-suite-78-m-sup2--excelente-2965770090.html,,790.000,
Biensky Imóveis,167,167,2022-06-25,Asa Sul,3,Brasília,2965708601,24391,,,SQS 216 BLOCO H,1,12,2,1,/propriedades/216-reformado-3-quartos-transformado-em-2-quartos-asa-2965708601.html,1450,2.115.000,
Elenio - 1ML | 1 Million Listings - Imóveis ⋄ Interiores ⋄ SMART Home,168,168,2022-07-01,Asa Sul,3,Brasília,2966746188,,,,"SQS 216,  Reformado Nascente Vista Livre Vazado Varanda",1,30,3,1,/propriedades/sqs-216-style-.mt-8-border:-8px-solid-2966746188.html,,1.898.000,
MONTEIRO E ANDRADE IMÓVEIS,185,185,2022-06-15,Asa Sul,3,Brasília,2965107913,25286,,,SQS 210 ,1,30,3,1,/propriedades/apartamento-na-sqs-210-com-185-m-sup2--reformado-2965107913.html,1300,2.320.000,
JK,148,148,2022-07-01,Asa Sul,3,Brasília,2962976541,11621,,,Sqs 311 6 Andar ,,30,3,1,/propriedades/apartamento-3-quartos-asa-sul-2962976541.html,,1.780.000,
