anunciante,area_privativa,area_total,atualizacao,bairro,banheiros,cidade,cod_imovel,creci,data_publicacao,dce,endereco,garagem,idade_imovel,quartos,suites,url,valor_condominio,valor_imovel,valor_mt2
ECAP,,,2022-06-27,Noroeste,,Brasília,2962565200,21714,,,SQNW 304 Bloco F,,,,,https://www.wimoveis.com.br/propriedades/apartamento-noroeste-high-design-2962565200.html,,2.505.040,
Lotus Cidade,,,2022-06-02,Noroeste,,Brasília,2959089394,,,,SQNW 306 - PROJEÇÃO E,,,,,https://www.wimoveis.com.br/propriedades/apartamento-noroeste-haya-2959089394.html,,899.000,
Lotus Cidade,,,2022-06-29,Noroeste,,Brasília,2955852624,,,,"SQNW, Bloco F,106							",,,,,https://www.wimoveis.com.br/propriedades/apartamento-no-noroeste-alma-2955852624.html,,4.323.259,
Lotus Cidade,,,2022-06-01,Noroeste,,Brasília,2952006052,,,,SQNW 310 Bloco D,,,,,https://www.wimoveis.com.br/propriedades/apartamento-no-noroeste-310-lotus-pronto-para-morar!-2952006052.html,,2.069.000,
Faenge Lançamentos,,,2022-07-01,Noroeste,,Brasília,2953525199,16004,,,"CLNW 2/3 Lote A Noroeste, Brasília/DF",,,,,https://www.wimoveis.com.br/propriedades/apartamento-no-noroeste-easy-noroeste-2953525199.html,,712.000,
Elaine Carneiro,64,64,2022-06-30,Cruzeiro,2,Brasília,2966733141,Creci 25937/DF,,, SHCES Quadra 711 ,,40,3,,https://www.wimoveis.com.br/propriedades/shces-quadra-711-2966733141.html,360,730.000,
ALLADYNO IMÓVEIS,64,64,2022-06-28,Cruzeiro,1,Brasília,2965709363,26288,,,SHCES QUADRA 501 BLOCO C APTO 404 CRUZEIRO NOVO CRUZEIRO NOVO,,20,3,,https://www.wimoveis.com.br/propriedades/cruzeiro-novo-apartmento-3-quartos-2965709363.html,,415.000,
Patrícia Turquiello,51,51,2022-06-29,Cruzeiro,1,Brasília,2965578035,8233,,,SHCES 1409 4º andar,,15,2,,https://www.wimoveis.com.br/propriedades/apartamento-com-elevador-e-uma-excelente-localizacao-2965578035.html,400,430.000,
JACQUELINE MAGALHÃES,47,47,2022-06-20,Cruzeiro,1,Brasília,2966390175,Creci 25937/DF,,,SHCES 401,,40,2,,https://www.wimoveis.com.br/propriedades/apartamento-47-m-sup2--2-quartos-2966390175.html,416,338.000,
MALBECK (Luciana) ,65,65,2022-04-18,Cruzeiro,1,Brasília,2961618474,25254,,,SHCES 1603,,10,2,,https://www.wimoveis.com.br/propriedades/shces-1603-2-quartos-elevador-vista-livre-2961618474.html,,550.000,
Elenio - 1ML | 1 Million Listings - Imóveis ⋄ Interiores ⋄ SMART Home,64,93,2022-06-30,Cruzeiro,1,Brasília,2966735810,,,,"Quadra SHCES 609 Cruzeiro, Cruzeiro Novo 3 Quartos Vazado Reforma Nascente",,13,3,,https://www.wimoveis.com.br/propriedades/quadra-shces-609-cruzeiro-novo-3-quartos-vazado-vista-2966735810.html,305,630.000,
Ferola Filial Noroeste 5,63,80,2022-06-20,Cruzeiro,2,Brasília,2966374131,CJ 11476,,,SHCES 509,,1,3,1,https://www.wimoveis.com.br/propriedades/shces-509-reformadissimo-3-quartos-2-wc-suite-2966374131.html,330,690.000,
Ferola Filial Noroeste 5,62,100,2022-06-20,Cruzeiro,2,Brasília,2961640485,CJ 11476,,,SHCES 407,,2,3,1,https://www.wimoveis.com.br/propriedades/shces-407-reformadissimo-3-quartos-2-wc-suite-2961640485.html,320,530.000,
JACQUELINE MAGALHÃES,48,48,2022-06-17,Cruzeiro,1,Brasília,2966368984,Creci 25937/DF,,,SHCES QD 105,,40,2,,https://www.wimoveis.com.br/propriedades/apartamento-2-quartos-48-m-sup2-2966368984.html,277,385.000,
Multimob Soluções Imobiliárias,33,33,2022-06-23,Cruzeiro,1,Brasília,2963267946, CJ 25861,,,SRES Area Especial Bloco D Edifício Valencia,1,4,2,,https://www.wimoveis.com.br/propriedades/edificio-valencia-apartamento-2-quartos-cruzeiro-2963267946.html,430,290.000,
MALBECK (Luciana) ,55,55,2022-03-24,Cruzeiro,1,Brasília,2960240637,25254,,,SHCES 1311,,10,,,https://www.wimoveis.com.br/propriedades/shces-1311-1-quarto-55-m-sup2-2960240637.html,,515.000,
Adriano Alencar ,63,63,2022-05-25,Cruzeiro,2,Brasília,2965597504,Creci 25937/DF,,,CRUZEIRO NOVO,,15,3,,https://www.wimoveis.com.br/propriedades/cruzeiro-novo-3-quartos-reformado-2965597504.html,500,640.000,
VISÃO IMÓVEIS LTDA,147,147,2022-07-02,Cruzeiro,4,Brasília,2962441351,2554,,,Sqsw 105 Bloco C 0,2,23,4,1,https://www.wimoveis.com.br/propriedades/melhor-localizacao!-2962441351.html,,1.780.000,
ECAP,,,2022-06-27,Noroeste,,Brasília,2962564545,21714,,,SQNW 303 Bloco B							,,,,,https://www.wimoveis.com.br/propriedades/apartamento-noroeste-my-design-2962564545.html,,2.670.027,
ECAP,,,2022-06-27,Noroeste,,Brasília,2962562023,21714,,,CLNW 02/03 Bloco C	,,,,,https://www.wimoveis.com.br/propriedades/apartamento-noroeste-self-design-2962562023.html,,639.857,
Faenge Lançamentos,,,2022-07-01,Noroeste,,Brasília,2955650997,16004,,,"SQNW 306, Projeção C",,,,,https://www.wimoveis.com.br/propriedades/apartamento-no-noroeste-urban-306-2955650997.html,,983.546,
PaulOOctavio - Lançamentos,,,2022-06-14,Noroeste,,Brasília,2959825146,1700,,,SQNW 103 Bloco A,,,,,https://www.wimoveis.com.br/propriedades/apartamento-noroeste-residencial-marcia-kubitschek-2959825146.html,,1.701.032,
ECAP,,,2022-06-27,Noroeste,,Brasília,2962563833,21714,,,SQNW 303 Bloco K							,,,,,https://www.wimoveis.com.br/propriedades/apartamento-noroeste-id-design-2962563833.html,,3.010.152,
Weizmann e Cavalheiro ODETE,62,62,2022-06-30,Cruzeiro,1,Brasília,2966735934,,,,shces 1405,,24,3,,https://www.wimoveis.com.br/propriedades/shces-1405-9244-4545-2966735934.html,270000,489.000,
VISÃO IMÓVEIS LTDA,147,147,2022-07-02,Cruzeiro,4,Brasília,2957830188,2554,,,Sqsw 105 Bloco C 0,2,22,4,1,https://www.wimoveis.com.br/propriedades/localizacao-privilegiada!-2957830188.html,1200,1.780.000,
walleson.ferreira67,80,120,2022-06-06,Cruzeiro,2,Brasília,2963013458,,,,Shces,,1,3,1,https://www.wimoveis.com.br/propriedades/lindo-apt-3qts-todo-reformado-exelente-tel:-98447-31-2963013458.html,,590.000,
Lena Xavier,62,62,2022-06-23,Cruzeiro,2,Brasília,2966399573,,,,SHCES Q 305,1,40,3,,https://www.wimoveis.com.br/propriedades/apartamento-3-quartos-reformado-vista-livre-1-vaga-2966399573.html,290,480.000,
Emplavi,,,2022-06-22,Noroeste,,Brasília,2963480556,0000,,,SQNW 102  Bloco F ,,,,,https://www.wimoveis.com.br/propriedades/apartamento-noroeste-parque-das-castanheiras-2963480556.html,,2.055.959,
Emplavi,,,2022-06-10,Noroeste,,Brasília,2962575575,0000,,,SQNW 302 Bloco H,,,,,https://www.wimoveis.com.br/propriedades/apartamento-noroeste-parque-das-palmeiras-2962575575.html,,1.112.451,
ECAP,,,2022-06-27,Noroeste,,Brasília,2962564545,21714,,,SQNW 303 Bloco B							,,,,,https://www.wimoveis.com.br/propriedades/apartamento-noroeste-my-design-2962564545.html,,2.670.027,
Emplavi,,,2022-06-01,Noroeste,,Brasília,2948712297,0000,,,SQNW 302 BLOCO D,,,,,https://www.wimoveis.com.br/propriedades/apartamento-noroeste-jardins-dos-bougainvilles-2948712297.html,,1.197.428,
Plann Engenharia,,,2022-06-09,Noroeste,,Brasília,2965213616,,,,SQNW 306 Bloco D,,,,,https://www.wimoveis.com.br/propriedades/apartamento-noroeste-domus-nw-2965213616.html,,1.062.478,
